data_sessao;tipo_materia;numero_materia;ano_materia;ementa_curta;nome_vereador;voto
2026-02-19;VETO;1;2026;"VETO INTEGRAL AO PROJETO DE LEI DO LEGISLATIVO Nº123/2025, CUJA SÚMULA ""DEFINE O TRAÇADO DA RUA DOS GIRASSÓIS, JARDIM BUSMAYER, CONFORME ESPECIFICA"".";VICTOR BINI;Não
2026-02-19;PROJETO DE LEI DO EXECUTIVO;11;2026;DÁ NOVA REDAÇÃO AO ART. 22 DA LEI MUNICIPAL Nº 3975, DE 4 DE FEVEREIRO DE 2026, QUE ALTEROU A LEI MUNICIPAL Nº 2.353, DE 22 DE DEZEMBRO DE 2011, CONFORME ESP...;ALEXANDRE GUIMARÃES;Não Votou
2026-02-19;PROJETO DE LEI DO EXECUTIVO;11;2026;DÁ NOVA REDAÇÃO AO ART. 22 DA LEI MUNICIPAL Nº 3975, DE 4 DE FEVEREIRO DE 2026, QUE ALTEROU A LEI MUNICIPAL Nº 2.353, DE 22 DE DEZEMBRO DE 2011, CONFORME ESP...;ANDRÉ GABARDO;Sim
2026-02-19;PROJETO DE LEI DO EXECUTIVO;11;2026;DÁ NOVA REDAÇÃO AO ART. 22 DA LEI MUNICIPAL Nº 3975, DE 4 DE FEVEREIRO DE 2026, QUE ALTEROU A LEI MUNICIPAL Nº 2.353, DE 22 DE DEZEMBRO DE 2011, CONFORME ESP...;ATHOS MARTINEZ;Sim
2026-02-19;PROJETO DE LEI DO EXECUTIVO;11;2026;DÁ NOVA REDAÇÃO AO ART. 22 DA LEI MUNICIPAL Nº 3975, DE 4 DE FEVEREIRO DE 2026, QUE ALTEROU A LEI MUNICIPAL Nº 2.353, DE 22 DE DEZEMBRO DE 2011, CONFORME ESP...;GENÉSIO DA VITAL;Sim
2026-02-19;PROJETO DE LEI DO EXECUTIVO;11;2026;DÁ NOVA REDAÇÃO AO ART. 22 DA LEI MUNICIPAL Nº 3975, DE 4 DE FEVEREIRO DE 2026, QUE ALTEROU A LEI MUNICIPAL Nº 2.353, DE 22 DE DEZEMBRO DE 2011, CONFORME ESP...;GUSTAVO TORRES;Sim
2026-02-19;PROJETO DE LEI DO EXECUTIVO;11;2026;DÁ NOVA REDAÇÃO AO ART. 22 DA LEI MUNICIPAL Nº 3975, DE 4 DE FEVEREIRO DE 2026, QUE ALTEROU A LEI MUNICIPAL Nº 2.353, DE 22 DE DEZEMBRO DE 2011, CONFORME ESP...;JUNIOR ANDREASSA;Sim
2026-02-19;PROJETO DE LEI DO EXECUTIVO;11;2026;DÁ NOVA REDAÇÃO AO ART. 22 DA LEI MUNICIPAL Nº 3975, DE 4 DE FEVEREIRO DE 2026, QUE ALTEROU A LEI MUNICIPAL Nº 2.353, DE 22 DE DEZEMBRO DE 2011, CONFORME ESP...;LUIZ SCERVENSKI;Sim
2026-02-19;PROJETO DE LEI DO EXECUTIVO;11;2026;DÁ NOVA REDAÇÃO AO ART. 22 DA LEI MUNICIPAL Nº 3975, DE 4 DE FEVEREIRO DE 2026, QUE ALTEROU A LEI MUNICIPAL Nº 2.353, DE 22 DE DEZEMBRO DE 2011, CONFORME ESP...;POLACO PRETO;Sim
2026-02-19;PROJETO DE LEI DO EXECUTIVO;11;2026;DÁ NOVA REDAÇÃO AO ART. 22 DA LEI MUNICIPAL Nº 3975, DE 4 DE FEVEREIRO DE 2026, QUE ALTEROU A LEI MUNICIPAL Nº 2.353, DE 22 DE DEZEMBRO DE 2011, CONFORME ESP...;RAFAEL FREITAS;Sim
2026-02-19;PROJETO DE LEI DO EXECUTIVO;11;2026;DÁ NOVA REDAÇÃO AO ART. 22 DA LEI MUNICIPAL Nº 3975, DE 4 DE FEVEREIRO DE 2026, QUE ALTEROU A LEI MUNICIPAL Nº 2.353, DE 22 DE DEZEMBRO DE 2011, CONFORME ESP...;ROGERIO DAS TINTAS;Sim
2026-02-19;PROJETO DE LEI DO EXECUTIVO;11;2026;DÁ NOVA REDAÇÃO AO ART. 22 DA LEI MUNICIPAL Nº 3975, DE 4 DE FEVEREIRO DE 2026, QUE ALTEROU A LEI MUNICIPAL Nº 2.353, DE 22 DE DEZEMBRO DE 2011, CONFORME ESP...;ROGÉRIO DA VIAÇÃO;Sim
2026-02-19;PROJETO DE LEI DO EXECUTIVO;11;2026;DÁ NOVA REDAÇÃO AO ART. 22 DA LEI MUNICIPAL Nº 3975, DE 4 DE FEVEREIRO DE 2026, QUE ALTEROU A LEI MUNICIPAL Nº 2.353, DE 22 DE DEZEMBRO DE 2011, CONFORME ESP...;SARGENTO LEANDRO CHRESTANI;Sim
2026-02-19;PROJETO DE LEI DO EXECUTIVO;11;2026;DÁ NOVA REDAÇÃO AO ART. 22 DA LEI MUNICIPAL Nº 3975, DE 4 DE FEVEREIRO DE 2026, QUE ALTEROU A LEI MUNICIPAL Nº 2.353, DE 22 DE DEZEMBRO DE 2011, CONFORME ESP...;SENSEI CLOVIS;Sim
2026-02-19;PROJETO DE LEI DO EXECUTIVO;11;2026;DÁ NOVA REDAÇÃO AO ART. 22 DA LEI MUNICIPAL Nº 3975, DE 4 DE FEVEREIRO DE 2026, QUE ALTEROU A LEI MUNICIPAL Nº 2.353, DE 22 DE DEZEMBRO DE 2011, CONFORME ESP...;TOMAZINA;Sim
2026-02-19;PROJETO DE LEI DO EXECUTIVO;11;2026;DÁ NOVA REDAÇÃO AO ART. 22 DA LEI MUNICIPAL Nº 3975, DE 4 DE FEVEREIRO DE 2026, QUE ALTEROU A LEI MUNICIPAL Nº 2.353, DE 22 DE DEZEMBRO DE 2011, CONFORME ESP...;VICTOR BINI;Sim
2026-02-19;VOTAÇÃO REQUERIMENTOS EM CONJUNTO;2;2026;VOTAÇÃO ENGLOBADA DE TODOS REQUERIMENTOS.;ALEXANDRE GUIMARÃES;Não Votou
2026-02-19;VOTAÇÃO REQUERIMENTOS EM CONJUNTO;2;2026;VOTAÇÃO ENGLOBADA DE TODOS REQUERIMENTOS.;ANDRÉ GABARDO;Sim
2026-02-19;VOTAÇÃO REQUERIMENTOS EM CONJUNTO;2;2026;VOTAÇÃO ENGLOBADA DE TODOS REQUERIMENTOS.;ATHOS MARTINEZ;Sim
2026-02-19;VOTAÇÃO REQUERIMENTOS EM CONJUNTO;2;2026;VOTAÇÃO ENGLOBADA DE TODOS REQUERIMENTOS.;GENÉSIO DA VITAL;Sim
2026-02-19;VOTAÇÃO REQUERIMENTOS EM CONJUNTO;2;2026;VOTAÇÃO ENGLOBADA DE TODOS REQUERIMENTOS.;GUSTAVO TORRES;Sim
2026-02-19;VOTAÇÃO REQUERIMENTOS EM CONJUNTO;2;2026;VOTAÇÃO ENGLOBADA DE TODOS REQUERIMENTOS.;JUNIOR ANDREASSA;Sim
2026-02-19;VOTAÇÃO REQUERIMENTOS EM CONJUNTO;2;2026;VOTAÇÃO ENGLOBADA DE TODOS REQUERIMENTOS.;LUIZ SCERVENSKI;Sim
2026-02-19;VOTAÇÃO REQUERIMENTOS EM CONJUNTO;2;2026;VOTAÇÃO ENGLOBADA DE TODOS REQUERIMENTOS.;POLACO PRETO;Sim
2026-02-19;VOTAÇÃO REQUERIMENTOS EM CONJUNTO;2;2026;VOTAÇÃO ENGLOBADA DE TODOS REQUERIMENTOS.;RAFAEL FREITAS;Sim
2026-02-19;VOTAÇÃO REQUERIMENTOS EM CONJUNTO;2;2026;VOTAÇÃO ENGLOBADA DE TODOS REQUERIMENTOS.;ROGERIO DAS TINTAS;Sim
2026-02-19;VOTAÇÃO REQUERIMENTOS EM CONJUNTO;2;2026;VOTAÇÃO ENGLOBADA DE TODOS REQUERIMENTOS.;ROGÉRIO DA VIAÇÃO;Sim
2026-02-19;VOTAÇÃO REQUERIMENTOS EM CONJUNTO;2;2026;VOTAÇÃO ENGLOBADA DE TODOS REQUERIMENTOS.;SARGENTO LEANDRO CHRESTANI;Sim
2026-02-19;VOTAÇÃO REQUERIMENTOS EM CONJUNTO;2;2026;VOTAÇÃO ENGLOBADA DE TODOS REQUERIMENTOS.;SENSEI CLOVIS;Sim
2026-02-19;VOTAÇÃO REQUERIMENTOS EM CONJUNTO;2;2026;VOTAÇÃO ENGLOBADA DE TODOS REQUERIMENTOS.;TOMAZINA;Sim
2026-02-19;VOTAÇÃO REQUERIMENTOS EM CONJUNTO;2;2026;VOTAÇÃO ENGLOBADA DE TODOS REQUERIMENTOS.;VICTOR BINI;Sim
